"","cluster","gene","avg_log2FC"
"1","hDA","SLC6A3",6.77529441954471
"2","hDA","TH",5.89571279273506
"3","hDA","ELOVL3",5.82984686646747
"4","hDA","PITX3",5.57516876103076
"5","hDA","ALDH1A1",5.26170478814911
"6","hDA","SLC18A2",4.9064911089554
"7","hDA","SLC10A4",4.77176686751846
"8","hDA","TMCC3",4.38615076153765
"9","hDA","NR4A2",4.23612476399562
"10","hDA","IQCJ",3.82018183741568
"11","hDA","KCNJ6",3.6780187303281
"12","hDA","KLHL1",3.60178100419211
"13","hDA","LRRC3B",3.46320545317681
"14","hDA","KCTD8",3.23945657813702
"15","hDA","GRIA3",3.23293474857872
"16","hDA","DDC",3.1947701009751
"17","hDA","EN1",3.18519973885067
"18","hDA","LMX1B",3.08794180827365
"19","hDA","GABRB1",3.07236514637522
"20","hDA","MYRIP",3.03839228716077
"21","hDA","GRIK3",2.96461450020952
"22","hDA","AJAP1",2.88951417775458
"23","hDA","SNTG1",2.81676054729822
"24","hDA","LMX1A",2.80415372867975
"25","hDA","SHISA6",2.80058982188213
"26","hDA","TOX2",2.76007016610352
"27","hDA","FOXA1",2.71609227133395
"28","hDA","SLITRK5",2.67666205600661
"29","hDA","EPHA5",2.66963442362497
"30","hDA","GFRA1",2.63207954783469
"31","hDA","RAMP2",2.63028136431057
"32","hDA","PDZRN4",2.60967785354572
"33","hDA","C1QL1",2.60622174931255
"34","hDA","ANK1",2.54493466660476
"35","hDA","CBLN2",2.5357138468092
"36","hDA","DLK1",2.50867794049622
"37","hDA","MEG8",2.48785926575072
"38","hDA","PLS3",2.39708099159561
"39","hDA","CHST1",2.39271996160684
"40","hDA","SGCD",2.29456246999334
"41","hDA","CNTN1",2.29389944498383
"42","hDA","EN2",2.27458055960312
"43","hDA","SCN9A",2.26407865013967
"44","hDA","MEG3",2.24910015670281
"45","hDA","PCDH10",2.21224313653358
"46","hDA","KCNN3",2.15132539136185
"47","hDA","PBX1",2.14287145628202
"48","hDA","RCAN3",2.14094676154238
"49","hDA","KIFC2",2.12447843376642
"50","hDA","SNCA",2.12281158901179
"51","hDA.STN","RGS4",4.26280753005346
"52","hDA.STN","PITX2",3.80398835671223
"53","hDA.STN","CBLN1",3.54781956952224
"54","hDA.STN","DMRTA2",3.24214508135237
"55","hDA.STN","NR4A2",3.14494264024469
"56","hDA.STN","RPRM",3.07855879406394
"57","hDA.STN","TNR",3.07685981727932
"58","hDA.STN","FOXA2",2.88254603531621
"59","hDA.STN","LMX1A",2.7642327865048
"60","hDA.STN","C1QL1",2.59300977437449
"61","hDA.STN","HS3ST5",2.45082931440604
"62","hDA.STN","GALNTL6",2.35509082086209
"63","hDA.STN","GLRA2",2.33205422437519
"64","hDA.STN","CHST8",2.30513763864826
"65","hDA.STN","C1QL4",2.27253293444748
"66","hDA.STN","CNTNAP5",2.26755944326517
"67","hDA.STN","NHLH2",2.26506162476676
"68","hDA.STN","HIST3H2A",2.24495393339747
"69","hDA.STN","NTNG1",2.22924906337945
"70","hDA.STN","ADCYAP1",2.21593062769366
"71","hDA.STN","FOXA1",2.21285623357248
"72","hDA.STN","BRINP1",2.12451605161685
"73","hDA.STN","GREM2",2.06795924903031
"74","hDA.STN","ARHGAP24",2.06298211919111
"75","hDA.STN","ENOX1",2.02377670719055
"76","hDA.STN","VWA5A",2.0122917110447
"77","hDA.STN","PPP2R2B",2.01125126490314
"78","hDA.STN","LMX1B",2.00723590763038
"79","hDA.STN","RAI2",1.99319248907313
"80","hDA.STN","POU4F1",1.98442052398341
"81","hDA.STN","POU2F2",1.96528675864567
"82","hDA.STN","RAPGEF5",1.96183607586969
"83","hDA.STN","SLC17A6",1.95479506282392
"84","hDA.STN","DPYD",1.92715648790744
"85","hDA.STN","PDZRN4",1.89354034025244
"86","hDA.STN","GRM8",1.88480105551924
"87","hDA.STN","KLHL1",1.88129549997498
"88","hDA.STN","GAP43",1.83446840197705
"89","hDA.STN","FXYD7",1.82559185374786
"90","hDA.STN","THSD7B",1.81069577138065
"91","hDA.STN","NEBL",1.80373829353607
"92","hDA.STN","PLXDC2",1.80002269542971
"93","hDA.STN","PRICKLE2",1.71681504005919
"94","hDA.STN","ZCCHC12",1.70342887800163
"95","hDA.STN","NACAD",1.63991975751581
"96","hDA.STN","RAMMET",1.63899014435753
"97","hDA.STN","GABRB1",1.61150102162873
"98","hDA.STN","NRN1",1.58103898554549
"99","hDA.STN","CBLN2",1.57932674382475
"100","hDA.STN","FAM241B",1.57875702708759
"101","hNProg.DA","RGS4",5.392536191681
"102","hNProg.DA","HEPACAM2",4.98391371333783
"103","hNProg.DA","MALRD1",4.52443724598083
"104","hNProg.DA","LMX1A",3.9745757315446
"105","hNProg.DA","DMRTA1",3.93161432766402
"106","hNProg.DA","WNT10B",3.68022701508742
"107","hNProg.DA","PHLDA1",3.65318798692134
"108","hNProg.DA","BHLHE22",3.50116764063292
"109","hNProg.DA","ARX",3.47837200830477
"110","hNProg.DA","NEUROG2",3.27175120662838
"111","hNProg.DA","DMRTA2",3.20112316589901
"112","hNProg.DA","FREM2",3.11604731197667
"113","hNProg.DA","NR4A2",3.02698379599219
"114","hNProg.DA","NHLH1",2.99979286592264
"115","hNProg.DA","ELOVL3",2.98634691986156
"116","hNProg.DA","NEUROD1",2.97102526951539
"117","hNProg.DA","NRN1",2.92407225123312
"118","hNProg.DA","PITX3",2.92117938336527
"119","hNProg.DA","CXCR4",2.79469596729005
"120","hNProg.DA","FOXA2",2.73775824098097
"121","hNProg.DA","FOXA1",2.6954362337045
"122","hNProg.DA","DDC",2.69269395303124
"123","hNProg.DA","UNC5D",2.68560046240459
"124","hNProg.DA","CALB2",2.66772779172982
"125","hNProg.DA","ACTC1",2.62574421205554
"126","hNProg.DA","PLXDC2",2.62073051915486
"127","hNProg.DA","NHLH2",2.51711780933341
"128","hNProg.DA","NEUROD4",2.48845088643751
"129","hNProg.DA","CHN2",2.43347920450721
"130","hNProg.DA","GREM2",2.36999205857306
"131","hNProg.DA","CLVS1",2.36710485865779
"132","hNProg.DA","GRIN3A",2.36654372633434
"133","hNProg.DA","TTC6",2.34378394713911
"134","hNProg.DA","CHST8",2.27292804483477
"135","hNProg.DA","RND3",2.27191274261615
"136","hNProg.DA","RGS16",2.23883920313692
"137","hNProg.DA","DLL3",2.2143933836944
"138","hNProg.DA","SCHIP1",2.21171018285773
"139","hNProg.DA","LMX1B",2.17171323107346
"140","hNProg.DA","SOX6",2.14085260312526
"141","hNProg.DA","MFNG",2.11757066638892
"142","hNProg.DA","PITX2",2.05682005379568
"143","hNProg.DA","PTPRO",1.97633279279445
"144","hNProg.DA","SULF2",1.96136135090331
"145","hNProg.DA","PCSK2",1.94687504217645
"146","hNProg.DA","RAMP2",1.90429667042383
"147","hNProg.DA","GRIK3",1.88682547723124
"148","hNProg.DA","C1QL1",1.86706091025232
"149","hNProg.DA","KLHL35",1.81395480931425
