"","PCW6","PCW7","PCW8","PCW9","PCW10","PCW11"
"hDA",0.0163934426229508,0.179487179487179,0.0703125,0.17037037037037,0.207100591715976,0.0602409638554217
"hDA.STN",0,0,0,0,0,0
"hNProg.DA",0.163934426229508,0.0256410256410256,0.1328125,0.0148148148148148,0.0118343195266272,0.0120481927710843
"hRN",0.0491803278688525,0.0512820512820513,0.2578125,0.0148148148148148,0,0
"hNProg.DARN",0.0819672131147541,0.0256410256410256,0.1015625,0,0,0
"hvGaba",0,0.102564102564103,0.0078125,0.42962962962963,0.177514792899408,0.0120481927710843
"hNProg.vGaba",0,0,0,0,0,0.0120481927710843
"hdGaba",0,0,0,0,0,0
"hNProg.dGaba",0,0,0,0,0.00591715976331361,0
"hNProg.Gaba",0,0,0.0078125,0,0,0
"hGlu",0,0,0,0,0,0
"hNProg.Glu",0,0,0,0,0,0
"hOMTN",0.19672131147541,0.205128205128205,0.1484375,0.0666666666666667,0.029585798816568,0.036144578313253
"hSert",0,0,0,0.0222222222222222,0.0887573964497041,0.0120481927710843
"hOPC",0,0,0,0.0148148148148148,0.0828402366863905,0.156626506024096
"hProg",0.475409836065574,0.384615384615385,0.2734375,0.192592592592593,0.0710059171597633,0.0843373493975904
"hRgl",0.0163934426229508,0.0256410256410256,0,0.0740740740740741,0.325443786982249,0.614457831325301
"hNProg.DA",0.666666666666667,0.5,0.548387096774194,1,0.666666666666667,0.5
"hNProg.DARN",0.333333333333333,0.5,0.419354838709677,0,0,0
"hNProg.vGaba",0,0,0,0,0,0.5
"hNProg.dGaba",0,0,0,0,0.333333333333333,0
"hNProg.Gaba",0,0,0.032258064516129,0,0,0
"hNProg.Glu",0,0,0,0,0,0
"hDA",0.0625,0.333333333333333,0.145161290322581,0.242105263157895,0.411764705882353,0.5
"hDA.STN",0,0,0,0,0,0
"hRN",0.1875,0.0952380952380952,0.532258064516129,0.0210526315789474,0,0
"hvGaba",0,0.19047619047619,0.0161290322580645,0.610526315789474,0.352941176470588,0.1
"hdGaba",0,0,0,0,0,0
"hGlu",0,0,0,0,0,0
