"","PCW6","PCW7","PCW8","PCW9","PCW10","PCW11"
"hDA",0,0.179487179487179,0.046875,0.162962962962963,0.218934911242604,0.0602409638554217
"hDA.STN",0,0,0,0,0,0
"hNProg.DA",0.229508196721311,0.0256410256410256,0.2421875,0.0222222222222222,0.0118343195266272,0.0120481927710843
"hRN",0.0819672131147541,0.0256410256410256,0.25,0.0222222222222222,0,0
"hNProg.DARN",0.0327868852459016,0.0256410256410256,0.03125,0,0,0
"hvGaba",0,0.128205128205128,0.0078125,0.422222222222222,0.165680473372781,0.0120481927710843
"hNProg.vGaba",0,0,0,0,0,0.0120481927710843
"hdGaba",0,0,0,0.00740740740740741,0,0
"hNProg.dGaba",0,0,0,0,0,0
"hNProg.Gaba",0,0,0,0,0,0
"hGlu",0,0,0,0,0,0
"hNProg.Glu",0,0,0.0078125,0,0,0
"hOMTN",0.19672131147541,0.205128205128205,0.1484375,0.0666666666666667,0.029585798816568,0.036144578313253
"hSert",0,0,0,0.0148148148148148,0.0887573964497041,0.0120481927710843
"hOPC",0,0,0,0.0148148148148148,0.0710059171597633,0.156626506024096
"hProg",0.442622950819672,0.358974358974359,0.265625,0.185185185185185,0.0650887573964497,0.0843373493975904
"hRgl",0.0163934426229508,0.0512820512820513,0,0.0814814814814815,0.349112426035503,0.614457831325301
